<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRB,5,20210204,090000,66.5,66.5,66,66,140,0
CRB,5,20210204,090500,66.1,66.1,66,66,50,0
CRB,5,20210204,091000,66,66,54,62,1604,0
CRB,5,20210204,091500,63.8,64,63.8,64,444,0
CRB,5,20210204,092000,64,64,64,64,50,0
CRB,5,20210204,092500,63.5,63.5,63.5,63.5,73,0
CRB,5,20210204,093000,65,65.9,64,64,117,0
CRB,5,20210204,093500,64,64,64,64,70,0
CRB,5,20210204,094000,65.4,65.4,65.4,65.4,11,0
CRB,5,20210204,100000,65.5,65.5,65.4,65.4,40,0
CRB,5,20210204,100500,65.5,66,65.5,66,74,0
CRB,5,20210204,101000,66,66.4,66,66.4,10,0
CRB,5,20210204,102500,64.5,64.5,64.5,64.5,14,0
CRB,5,20210204,115000,65.9,65.9,65.9,65.9,1,0
CRB,5,20210204,121000,65.9,65.9,65.9,65.9,50,0
CRB,5,20210204,121500,65.9,66.7,65.9,66.7,8,0
CRB,5,20210204,123000,64.5,64.5,64.5,64.5,35,0
CRB,5,20210204,124500,64.5,64.5,64.5,64.5,10,0
CRB,5,20210204,133500,65.9,65.9,65.9,65.9,2,0
CRB,5,20210204,151000,64.7,64.7,64.7,64.7,50,0
CRB,5,20210204,151500,64.6,64.6,64.6,64.6,41,0
CRB,5,20210204,152500,65.8,66,65.8,66,299,0
CRB,5,20210204,153000,66,66,66,66,143,0
CRB,5,20210204,163500,66,67,66,67,166,0
CRB,5,20210204,164000,67,67,67,67,24,0
CRB,5,20210204,164500,66.1,66.1,66.1,66.1,108,0
CRB,5,20210205,090000,66,66,65,65,76,0
CRB,5,20210205,090500,63,64,63,64,14,0
CRB,5,20210205,091000,64,64,64,64,18,0
CRB,5,20210205,091500,64,64,64,64,80,0
CRB,5,20210205,092500,64,64,64,64,1,0
CRB,5,20210205,093000,63.3,63.3,63.3,63.3,27,0
CRB,5,20210205,093500,64,64,64,64,22,0
CRB,5,20210205,094500,64.3,64.3,63.3,63.3,56,0
CRB,5,20210205,101000,63.5,63.5,63.5,63.5,75,0
CRB,5,20210205,104000,63.5,63.5,63.5,63.5,10,0
CRB,5,20210205,104500,63.5,63.5,63.5,63.5,10,0
CRB,5,20210205,110000,63.5,63.5,63.5,63.5,8,0
CRB,5,20210205,112000,65.5,65.5,65.5,65.5,16,0
CRB,5,20210205,131000,64.8,64.8,64.8,64.8,40,0
CRB,5,20210205,140000,65.4,66,65.4,66,82,0
CRB,5,20210205,153500,67.9,67.9,67.9,67.9,8,0
CRB,5,20210205,160500,67,67.9,67,67.9,45,0
CRB,5,20210208,090000,68,68,68,68,15,0
CRB,5,20210208,091500,68,68,68,68,14,0
CRB,5,20210208,092500,66,66,65,65,114,0
CRB,5,20210208,093000,65,65,64.7,65,19,0
CRB,5,20210208,120500,65.3,65.3,65.1,65.1,70,0
CRB,5,20210208,122000,67.4,67.4,67.4,67.4,32,0
CRB,5,20210208,125500,65.1,65.1,65,65,200,0
CRB,5,20210208,130000,66,66,66,66,50,0
CRB,5,20210208,145500,65,65,65,65,70,0
CRB,5,20210208,150000,66,66,66,66,1,0
CRB,5,20210208,154000,65,65,65,65,54,0
CRB,5,20210208,162500,65,65,65,65,50,0
CRB,5,20210208,164500,65.9,65.9,65.9,65.9,1,0
CRB,5,20210209,090000,65.9,65.9,65.9,65.9,23,0
CRB,5,20210209,092000,64,64,63,63,700,0
CRB,5,20210209,092500,64,64,62.4,62.4,52,0
CRB,5,20210209,093000,64,64,64,64,1,0
CRB,5,20210209,100000,63,63,63,63,24,0
CRB,5,20210209,103000,63.1,63.1,63.1,63.1,16,0
CRB,5,20210209,103500,63,63,63,63,132,0
CRB,5,20210209,110000,63,63,63,63,120,0
CRB,5,20210209,110500,63,63,63,63,80,0
CRB,5,20210209,111500,64,64,64,64,28,0
CRB,5,20210209,112000,64,64,64,64,50,0
CRB,5,20210209,120500,64,64,64,64,25,0
CRB,5,20210209,121000,63,63,63,63,50,0
CRB,5,20210209,123500,63,63,63,63,90,0
CRB,5,20210209,125000,63,63,63,63,95,0
CRB,5,20210209,125500,63,63,63,63,100,0
CRB,5,20210209,130500,63,63,62.5,62.5,362,0
CRB,5,20210209,131000,63,63,63,63,1,0
CRB,5,20210209,131500,62.4,62.4,62.4,62.4,100,0
CRB,5,20210209,132000,62.4,62.4,61.5,62,506,0
CRB,5,20210209,132500,62.1,62.1,62.1,62.1,205,0
CRB,5,20210209,133000,62.1,62.1,62.1,62.1,50,0
CRB,5,20210209,135000,62,62,62,62,389,0
CRB,5,20210209,142000,62.5,62.8,62.5,62.8,100,0
CRB,5,20210209,142500,63,63.7,63,63.7,144,0
CRB,5,20210209,143000,63.7,63.7,63.7,63.7,20,0
CRB,5,20210209,152500,63.1,63.1,63,63,166,0
CRB,5,20210209,153500,63,63,63,63,50,0
CRB,5,20210209,154000,63,63,63,63,21,0
CRB,5,20210209,155000,63.5,63.5,63.5,63.5,40,0
CRB,5,20210209,163500,63,63,63,63,32,0
CRB,5,20210209,164000,63,63,62.1,62.1,122,0
CRB,5,20210209,164500,62.5,62.5,62.5,62.5,114,0
CRB,5,20210210,090000,63.1,63.1,63.1,63.1,645,0
CRB,5,20210210,090500,64,64,64,64,50,0
CRB,5,20210210,092000,64.4,66,64.4,66,100,0
CRB,5,20210210,092500,66,67,65,65,60,0
CRB,5,20210210,094000,63.5,63.5,63.5,63.5,45,0
CRB,5,20210210,095000,63.1,63.1,63,63,65,0
CRB,5,20210210,103500,63.1,63.1,63,63,100,0
CRB,5,20210210,113000,63.1,63.1,63,63,120,0
CRB,5,20210210,133000,64,64,64,64,15,0
CRB,5,20210210,135500,63.3,63.3,63.3,63.3,80,0
CRB,5,20210210,142500,63.3,63.3,63.3,63.3,20,0
CRB,5,20210210,150500,63.3,64,63.3,64,65,0
CRB,5,20210210,152500,63.1,63.1,63.1,63.1,55,0
CRB,5,20210210,153000,64,64,64,64,45,0
CRB,5,20210210,154500,64.5,64.5,64.5,64.5,100,0
CRB,5,20210210,155000,65,65,65,65,7,0
CRB,5,20210210,161500,63.2,63.2,63.2,63.2,50,0
CRB,5,20210210,162000,63.1,63.1,63,63,94,0
CRB,5,20210211,090000,62.1,66.3,62.1,66.3,569,0
CRB,5,20210211,090500,65,65,65,65,20,0
CRB,5,20210211,095500,64.9,66,64.9,66,50,0
CRB,5,20210211,111000,63.2,63.2,63.2,63.2,13,0
CRB,5,20210211,135000,64.9,64.9,64.9,64.9,16,0
CRB,5,20210211,155000,64,64,64,64,32,0
CRB,5,20210211,162500,64,65,64,65,127,0
CRB,5,20210211,163000,65.7,66,65.7,66,180,0
CRB,5,20210211,164500,64.1,64.1,64.1,64.1,70,0
CRB,5,20210212,090000,64,64,64,64,7,0
CRB,5,20210212,104500,64,64,63,63,92,0
CRB,5,20210212,113000,64,64,64,64,8,0
CRB,5,20210212,113500,64,64,63,63,53,0
CRB,5,20210212,124500,63.1,63.1,63,63,133,0
CRB,5,20210212,125500,62.4,62.4,62.2,62.2,14,0
CRB,5,20210212,130500,63,63,63,63,11,0
CRB,5,20210212,131000,64,64,64,64,40,0
CRB,5,20210212,132500,64,64,64,64,11,0
CRB,5,20210212,150500,64.8,64.8,64.8,64.8,6,0
CRB,5,20210212,152000,64.2,64.2,64.2,64.2,1,0
CRB,5,20210212,163500,65,65,65,65,1,0
CRB,5,20210212,164000,64,64,63.2,63.2,10,0
CRB,5,20210215,090000,65,66,65,66,59,0
CRB,5,20210215,092000,65,65,65,65,34,0
CRB,5,20210215,095000,65.8,65.8,65.8,65.8,30,0
CRB,5,20210215,100000,64.1,64.1,64,64,95,0
CRB,5,20210215,101500,64,64,64,64,5,0
CRB,5,20210215,102500,64,64,64,64,20,0
CRB,5,20210215,113000,64,64,64,64,36,0
CRB,5,20210215,114500,64,64,64,64,50,0
CRB,5,20210215,123500,64.5,64.5,63,63,315,0
CRB,5,20210215,125500,63.2,63.2,63.1,63.1,150,0
CRB,5,20210215,131000,63.2,63.2,63.1,63.1,85,0
CRB,5,20210215,133000,63.1,63.1,63.1,63.1,75,0
CRB,5,20210215,133500,63,63,63,63,90,0
CRB,5,20210215,143500,64.7,65,64.7,65,199,0
CRB,5,20210215,145500,65,65,65,65,1,0
CRB,5,20210215,150000,65,65,65,65,10,0
CRB,5,20210215,154000,65.6,65.6,65.6,65.6,14,0
CRB,5,20210215,164500,64,64,64,64,78,0
CRB,5,20210216,090000,64,64,63,63,481,0
CRB,5,20210216,094500,63.1,63.1,63,63,150,0
CRB,5,20210216,095500,63.1,63.1,63,63,100,0
CRB,5,20210216,105000,64.8,64.8,64.8,64.8,30,0
CRB,5,20210216,105500,64.8,64.8,64.8,64.8,16,0
CRB,5,20210216,110000,64.5,64.5,64.5,64.5,60,0
CRB,5,20210216,112000,64.5,64.5,64.5,64.5,4,0
CRB,5,20210216,122500,63.6,63.6,63.6,63.6,50,0
CRB,5,20210216,123500,63.5,63.5,63.1,63.1,70,0
CRB,5,20210216,133500,63.1,63.1,63,63,75,0
CRB,5,20210216,143000,63,63,63,63,175,0
CRB,5,20210216,155000,64.7,64.7,63.1,63.1,845,0
CRB,5,20210217,090000,65,65,65,65,1,0
CRB,5,20210217,103000,65,65,65,65,2,0
CRB,5,20210217,112000,64.9,65.8,64.9,65.8,88,0
CRB,5,20210217,114500,64,64,64,64,4,0
CRB,5,20210217,121500,64,64,64,64,1,0
CRB,5,20210217,123000,64,64,64,64,45,0
CRB,5,20210217,123500,63.4,63.4,63.4,63.4,160,0
CRB,5,20210217,125500,64,64,64,64,95,0
CRB,5,20210217,160000,63.7,63.7,63.7,63.7,5,0
CRB,5,20210218,090000,65.4,65.9,65.4,65.9,51,0
CRB,5,20210218,091000,65.9,65.9,65.9,65.9,17,0
CRB,5,20210218,091500,65.9,65.9,65.9,65.9,3,0
CRB,5,20210218,092500,64,64,63.5,63.5,200,0
CRB,5,20210218,100500,63.5,63.5,63.5,63.5,241,0
CRB,5,20210218,101000,63.2,63.5,63,63.5,219,0
CRB,5,20210218,101500,63.1,64.9,63.1,64.9,19,0
CRB,5,20210218,102500,65,65,65,65,50,0
CRB,5,20210218,105500,65,65,65,65,20,0
CRB,5,20210218,110500,64,64,64,64,25,0
CRB,5,20210218,111000,64,65,64,65,55,0
CRB,5,20210218,111500,65.9,66.5,65.9,66.5,330,0
CRB,5,20210218,112500,66,66,65.3,65.3,17,0
CRB,5,20210218,113000,66.5,67,66.5,67,8,0
CRB,5,20210218,115000,65.3,65.3,65.1,65.1,93,0
CRB,5,20210218,115500,65.1,65.1,65.1,65.1,87,0
CRB,5,20210218,120500,65.2,65.2,65.2,65.2,22,0
CRB,5,20210218,125500,66.4,67,66.4,67,361,0
CRB,5,20210218,132000,67,69,67,69,85,0
CRB,5,20210218,134000,68,69,68,69,275,0
CRB,5,20210218,134500,69,70,69,70,63,0
CRB,5,20210218,135000,66,69.8,66,66.3,222,0
CRB,5,20210218,141500,68.4,68.4,66.3,66.3,150,0
CRB,5,20210218,151000,66.1,66.1,66,66,373,0
CRB,5,20210218,154500,68,68.9,65.2,68.9,229,0
CRB,5,20210218,155000,68.9,68.9,68.9,68.9,5,0
CRB,5,20210218,155500,68.9,68.9,68.9,68.9,34,0
CRB,5,20210218,160500,68.4,68.4,67,67,51,0
CRB,5,20210218,161000,67,67,67,67,30,0
CRB,5,20210218,163000,66,66,66,66,22,0
CRB,5,20210218,163500,66,66,66,66,33,0
CRB,5,20210218,164500,65.1,65.1,65.1,65.1,76,0
CRB,5,20210219,090000,68,69,68,69,501,0
CRB,5,20210219,091500,67,67,67,67,70,0
CRB,5,20210219,102000,67,67,67,67,20,0
CRB,5,20210219,105500,67.5,67.5,67.5,67.5,4,0
CRB,5,20210219,120500,67,67,65.5,65.5,36,0
CRB,5,20210219,121000,65.1,65.1,65,65,100,0
CRB,5,20210219,124000,67.5,67.5,67.5,67.5,5,0
CRB,5,20210219,135500,65.5,65.5,65.5,65.5,5,0
CRB,5,20210219,141000,67.4,67.4,67.4,67.4,10,0
CRB,5,20210219,151500,65.5,65.5,65,65,88,0
CRB,5,20210219,152500,65,65,65,65,12,0
CRB,5,20210219,153000,66,66,66,66,25,0
CRB,5,20210219,155500,64.2,64.2,64,64,150,0
CRB,5,20210219,160000,66,66,66,66,5,0
CRB,5,20210219,161500,64.2,64.2,64.1,64.1,70,0
CRB,5,20210219,164500,65,65,65,65,28,0
CRB,5,20210222,090500,66,66,66,66,7,0
CRB,5,20210222,091000,66,66,65,65,139,0
CRB,5,20210222,092000,64,64,63.5,63.5,241,0
CRB,5,20210222,092500,63.5,63.5,63,63,500,0
CRB,5,20210222,100000,63.1,63.1,63,63,292,0
CRB,5,20210222,101500,63.5,63.5,63.5,63.5,300,0
CRB,5,20210222,103500,63.1,63.1,63.1,63.1,100,0
CRB,5,20210222,104500,63.2,63.2,63.2,63.2,138,0
CRB,5,20210222,112500,63.2,63.2,63,63,200,0
CRB,5,20210222,123000,64.9,64.9,64.9,64.9,8,0
CRB,5,20210222,125500,64,64,64,64,30,0
