<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QUB,5,20210204,090000,5.02,5.02,5.02,5.02,3879,0
QUB,5,20210204,091500,5,5.1,5,5.1,300,0
QUB,5,20210204,092000,4.98,4.98,4.98,4.98,200,0
QUB,5,20210204,093000,4.98,4.98,4.98,4.98,179,0
QUB,5,20210204,093500,4.98,4.98,4.97,4.97,331,0
QUB,5,20210204,094000,4.97,5.02,4.97,5.02,616,0
QUB,5,20210204,094500,5.02,5.02,5.02,5.02,220,0
QUB,5,20210204,100500,5,5,5,5,767,0
QUB,5,20210204,101500,5.1,5.1,5.1,5.1,54,0
QUB,5,20210204,103500,5.1,5.16,5.1,5.16,1364,0
QUB,5,20210204,104000,5.16,5.2,5.16,5.2,700,0
QUB,5,20210204,105000,5.04,5.04,5.04,5.04,100,0
QUB,5,20210204,111500,5.16,5.16,5.16,5.16,2,0
QUB,5,20210204,121000,5.12,5.14,5.12,5.14,450,0
QUB,5,20210204,134000,5.14,5.16,5.14,5.16,250,0
QUB,5,20210204,140000,5.04,5.04,5.04,5.04,60,0
QUB,5,20210204,141000,5.16,5.16,5.16,5.16,49,0
QUB,5,20210204,143000,5.04,5.04,5,5,100,0
QUB,5,20210204,143500,5,5,5,5,400,0
QUB,5,20210204,150000,5.04,5.14,5,5.14,423,0
QUB,5,20210204,160500,5.1,5.1,5.1,5.1,78,0
QUB,5,20210204,163000,5.1,5.14,5.1,5.14,50,0
QUB,5,20210204,164500,5.02,5.14,5.02,5.14,192,0
QUB,5,20210205,095000,5.14,5.14,5.14,5.14,2,0
QUB,5,20210205,095500,5.02,5.02,4.98,4.98,852,0
QUB,5,20210205,100000,5,5,5,5,440,0
QUB,5,20210205,104000,5,5,5,5,61,0
QUB,5,20210205,104500,5,5,5,5,109,0
QUB,5,20210205,110500,5.1,5.1,5.1,5.1,95,0
QUB,5,20210205,113500,5,5,5,5,961,0
QUB,5,20210205,115000,5,5,5,5,200,0
QUB,5,20210205,115500,5.1,5.1,5.1,5.1,2,0
QUB,5,20210205,122000,5.1,5.12,5.1,5.12,300,0
QUB,5,20210205,142500,5.1,5.1,5.1,5.1,196,0
QUB,5,20210205,150500,5.1,5.12,5.1,5.12,300,0
QUB,5,20210205,152500,5.04,5.04,5.04,5.04,1000,0
QUB,5,20210205,160000,5.04,5.04,5.04,5.04,200,0
QUB,5,20210205,163500,5.04,5.04,5.04,5.04,32,0
QUB,5,20210205,164500,5.12,5.12,5.12,5.12,2,0
QUB,5,20210208,090000,4.92,5.12,4.92,5.12,2992,0
QUB,5,20210208,092500,4.96,5.08,4.96,5.08,724,0
QUB,5,20210208,102500,5.04,5.04,5.04,5.04,100,0
QUB,5,20210208,104000,5.04,5.04,5.04,5.04,42,0
QUB,5,20210208,105500,5,5,4.98,4.98,140,0
QUB,5,20210208,110500,5,5,5,5,120,0
QUB,5,20210208,124000,5.06,5.06,5.06,5.06,2,0
QUB,5,20210208,142000,5.06,5.06,5.06,5.06,103,0
QUB,5,20210208,154000,5,5,5,5,300,0
QUB,5,20210208,162000,4.99,4.99,4.99,4.99,101,0
QUB,5,20210208,162500,4.99,5,4.99,5,363,0
QUB,5,20210208,163500,4.98,4.98,4.98,4.98,230,0
QUB,5,20210208,164500,5.04,5.04,5.04,5.04,202,0
QUB,5,20210209,094500,4.97,4.97,4.97,4.97,1,0
QUB,5,20210209,102500,4.97,4.97,4.97,4.97,100,0
QUB,5,20210209,103500,5.04,5.04,5.04,5.04,2,0
QUB,5,20210209,105500,4.98,4.98,4.98,4.98,101,0
QUB,5,20210209,112000,5.04,5.1,5.04,5.1,730,0
QUB,5,20210209,115500,5,5,5,5,300,0
QUB,5,20210209,122000,5,5,5,5,200,0
QUB,5,20210209,123000,5,5,4.98,5,867,0
QUB,5,20210209,130500,5.06,5.06,5.06,5.06,300,0
QUB,5,20210209,140000,5,5,5,5,750,0
QUB,5,20210209,144500,5,5,5,5,100,0
QUB,5,20210209,150500,4.98,4.98,4.97,4.97,267,0
QUB,5,20210209,153500,5,5,5,5,38,0
QUB,5,20210209,164500,4.98,4.98,4.98,4.98,50,0
QUB,5,20210210,090500,5.08,5.08,4.98,4.98,98,0
QUB,5,20210210,091500,5.08,5.08,5.08,5.08,2,0
QUB,5,20210210,094000,4.96,4.96,4.96,4.96,60,0
QUB,5,20210210,095000,4.96,4.96,4.96,4.96,500,0
QUB,5,20210210,110000,5.06,5.06,5.06,5.06,5,0
QUB,5,20210210,115000,4.96,4.96,4.96,4.96,3857,0
QUB,5,20210210,120000,5,5,5,5,100,0
QUB,5,20210210,124000,5,5.04,5,5.04,155,0
QUB,5,20210210,125500,4.98,4.98,4.98,4.98,50,0
QUB,5,20210210,130000,4.98,4.98,4.98,4.98,900,0
QUB,5,20210210,130500,4.96,4.96,4.96,4.96,500,0
QUB,5,20210210,132000,4.95,4.95,4.95,4.95,1439,0
QUB,5,20210210,133500,4.95,4.95,4.95,4.95,2222,0
QUB,5,20210210,134000,4.98,4.98,4.98,4.98,400,0
QUB,5,20210210,135500,4.99,4.99,4.97,4.97,400,0
QUB,5,20210210,140500,5.04,5.04,5.04,5.04,2,0
QUB,5,20210210,154500,5.04,5.04,5.04,5.04,199,0
QUB,5,20210210,162500,4.98,4.98,4.98,4.98,100,0
QUB,5,20210210,164500,5.04,5.04,5.04,5.04,3,0
QUB,5,20210211,090000,5.04,5.04,5.04,5.04,240,0
QUB,5,20210211,092000,5.04,5.04,5.04,5.04,500,0
QUB,5,20210211,095000,4.98,4.98,4.98,4.98,109,0
QUB,5,20210211,100000,4.98,4.98,4.96,4.96,100,0
QUB,5,20210211,105000,4.96,4.96,4.96,4.96,190,0
QUB,5,20210211,105500,4.96,4.96,4.95,4.95,1110,0
QUB,5,20210211,110000,4.95,4.95,4.95,4.95,2000,0
QUB,5,20210211,110500,4.95,4.95,4.92,4.92,1000,0
QUB,5,20210211,111500,4.95,4.95,4.95,4.95,1000,0
QUB,5,20210211,113500,4.99,5,4.99,5,260,0
QUB,5,20210211,114500,4.94,4.94,4.94,4.94,301,0
QUB,5,20210211,120000,4.99,5.04,4.99,5.04,420,0
QUB,5,20210211,120500,4.97,4.97,4.97,4.97,120,0
QUB,5,20210211,140000,4.97,4.97,4.97,4.97,4,0
QUB,5,20210211,143000,4.97,4.97,4.97,4.97,504,0
QUB,5,20210211,144500,4.96,4.96,4.95,4.95,179,0
QUB,5,20210211,145500,4.97,4.97,4.97,4.97,350,0
QUB,5,20210211,150000,4.97,4.97,4.97,4.97,1638,0
QUB,5,20210211,150500,5,5,5,5,700,0
QUB,5,20210211,155000,4.97,4.97,4.97,4.97,100,0
QUB,5,20210211,160500,5.06,5.22,5.06,5.1,11126,0
QUB,5,20210211,161000,5.1,5.2,5.1,5.2,1103,0
QUB,5,20210211,161500,5.2,5.2,5.2,5.2,500,0
QUB,5,20210211,162000,5.18,5.2,5.18,5.2,850,0
QUB,5,20210211,162500,5.2,5.2,5.2,5.2,182,0
QUB,5,20210211,163000,5.16,5.16,5.16,5.16,1500,0
QUB,5,20210211,163500,5.1,5.1,5.1,5.1,555,0
QUB,5,20210211,164000,5.18,5.18,5.18,5.18,5,0
QUB,5,20210211,164500,5.14,5.14,5.14,5.14,360,0
QUB,5,20210212,090000,5.14,5.14,5.12,5.14,802,0
QUB,5,20210212,090500,5.14,5.18,5.14,5.18,224,0
QUB,5,20210212,091000,5.16,5.16,5.1,5.16,1100,0
QUB,5,20210212,091500,5.16,5.2,5.12,5.12,8817,0
QUB,5,20210212,092000,5.18,5.2,5.18,5.2,1442,0
QUB,5,20210212,093000,5.2,5.2,5.14,5.14,1061,0
QUB,5,20210212,093500,5.2,5.28,5.2,5.28,2846,0
QUB,5,20210212,094000,5.28,5.28,5.28,5.28,728,0
QUB,5,20210212,094500,5.28,5.3,5.28,5.3,1904,0
QUB,5,20210212,095000,5.3,5.3,5.28,5.28,2070,0
QUB,5,20210212,095500,5.3,5.32,5.3,5.32,3811,0
QUB,5,20210212,100000,5.3,5.3,5.2,5.2,1075,0
QUB,5,20210212,101000,5.3,5.3,5.24,5.24,1810,0
QUB,5,20210212,102000,5.24,5.24,5.24,5.24,200,0
QUB,5,20210212,102500,5.24,5.26,5.24,5.26,600,0
QUB,5,20210212,103500,5.26,5.26,5.26,5.26,203,0
QUB,5,20210212,111000,5.24,5.24,5.24,5.24,1,0
QUB,5,20210212,112000,5.22,5.22,5.14,5.14,1326,0
QUB,5,20210212,112500,5.1,5.14,5.1,5.14,850,0
QUB,5,20210212,113500,5.14,5.14,5.14,5.14,500,0
QUB,5,20210212,114500,5.1,5.1,5.1,5.1,500,0
QUB,5,20210212,115500,5.1,5.1,5.1,5.1,493,0
QUB,5,20210212,120000,5.14,5.14,5.14,5.14,8,0
QUB,5,20210212,120500,5.14,5.14,5.14,5.14,719,0
QUB,5,20210212,122500,5.1,5.1,5.08,5.08,1676,0
QUB,5,20210212,123000,5.08,5.08,5,5,1300,0
QUB,5,20210212,123500,5.04,5.12,5.04,5.12,58,0
QUB,5,20210212,125000,5.04,5.04,5.02,5.02,800,0
QUB,5,20210212,125500,5.02,5.12,5.02,5.02,260,0
QUB,5,20210212,131500,5.12,5.12,5.12,5.12,100,0
QUB,5,20210212,134500,5.04,5.04,5,5.02,2900,0
QUB,5,20210212,140500,5.08,5.08,5.08,5.08,200,0
QUB,5,20210212,141000,5.08,5.08,5.08,5.08,1070,0
QUB,5,20210212,141500,5.02,5.02,5.02,5.02,100,0
QUB,5,20210212,153500,5.02,5.02,5.02,5.02,930,0
QUB,5,20210212,160500,5.04,5.04,5.04,5.04,100,0
QUB,5,20210212,161000,5.04,5.04,5.04,5.04,200,0
QUB,5,20210212,163000,5.08,5.08,5.08,5.08,200,0
QUB,5,20210212,164000,5.04,5.04,5.02,5.02,2429,0
QUB,5,20210212,164500,5.08,5.08,5,5,2712,0
QUB,5,20210215,090000,5,5,5,5,298,0
QUB,5,20210215,090500,4.98,4.98,4.98,4.98,182,0
QUB,5,20210215,091000,5.02,5.14,5.02,5.14,1102,0
QUB,5,20210215,093500,5,5,5,5,171,0
QUB,5,20210215,095000,5.1,5.1,5.1,5.1,10,0
QUB,5,20210215,101000,5.1,5.12,5.1,5.12,250,0
QUB,5,20210215,102500,5.02,5.02,5,5,798,0
QUB,5,20210215,103000,5,5,4.98,4.98,847,0
QUB,5,20210215,103500,4.98,5.02,4.98,5.02,155,0
QUB,5,20210215,111000,5.02,5.02,5.02,5.02,50,0
QUB,5,20210215,115500,5.08,5.08,5,5.04,2499,0
QUB,5,20210215,121500,5,5,5,5,270,0
QUB,5,20210215,122000,5,5,5,5,400,0
QUB,5,20210215,130500,5,5.08,5,5.08,690,0
QUB,5,20210215,134500,5.06,5.08,5.06,5.08,210,0
QUB,5,20210215,144500,4.99,5,4.99,4.99,500,0
QUB,5,20210215,151000,4.99,4.99,4.99,4.99,500,0
QUB,5,20210215,152500,4.99,4.99,4.98,4.98,200,0
QUB,5,20210215,161000,4.98,4.98,4.98,4.98,141,0
QUB,5,20210215,162500,4.98,4.98,4.98,4.98,1059,0
QUB,5,20210215,163500,4.98,4.98,4.98,4.98,50,0
QUB,5,20210215,164500,5.08,5.08,5.08,5.08,5,0
QUB,5,20210216,090000,4.94,4.96,4.94,4.96,800,0
QUB,5,20210216,090500,4.96,5.02,4.96,5.02,4134,0
QUB,5,20210216,093000,5.02,5.02,5.02,5.02,350,0
QUB,5,20210216,093500,5.02,5.08,5.02,5.08,589,0
QUB,5,20210216,101500,5.04,5.04,5.04,5.04,400,0
QUB,5,20210216,102000,5.04,5.04,5.04,5.04,750,0
QUB,5,20210216,102500,5.04,5.04,5,5,300,0
QUB,5,20210216,103000,5.08,5.08,5.08,5.08,5,0
QUB,5,20210216,104500,5,5,5,5,409,0
QUB,5,20210216,105000,4.99,5.08,4.99,5.08,491,0
QUB,5,20210216,112500,5.06,5.06,5.06,5.06,4,0
QUB,5,20210216,114500,5,5,5,5,600,0
QUB,5,20210216,115000,4.99,4.99,4.99,4.99,405,0
QUB,5,20210216,121500,4.99,4.99,4.99,4.99,304,0
QUB,5,20210216,123500,4.99,4.99,4.99,4.99,37,0
QUB,5,20210216,124000,4.99,5,4.99,5,189,0
QUB,5,20210216,135000,4.96,4.96,4.96,4.96,200,0
QUB,5,20210216,135500,4.96,4.96,4.94,4.94,293,0
QUB,5,20210216,141000,4.95,4.95,4.95,4.95,470,0
QUB,5,20210216,143000,4.95,4.95,4.95,4.95,30,0
QUB,5,20210216,143500,4.95,4.95,4.95,4.95,1000,0
QUB,5,20210216,152500,4.95,4.95,4.95,4.95,500,0
QUB,5,20210216,154000,5,5.04,5,5.04,471,0
QUB,5,20210216,161000,4.95,4.95,4.95,4.95,20,0
QUB,5,20210216,162000,4.95,4.95,4.95,4.95,80,0
QUB,5,20210216,162500,5.06,5.06,5.06,5.06,5,0
QUB,5,20210217,090000,5.08,5.08,5.08,5.08,19,0
QUB,5,20210217,092000,4.99,4.99,4.99,4.99,200,0
QUB,5,20210217,092500,5.08,5.08,5.08,5.08,2,0
QUB,5,20210217,093000,5.08,5.08,5.08,5.08,200,0
QUB,5,20210217,103000,5.08,5.1,5.08,5.1,650,0
QUB,5,20210217,104500,5.02,5.02,5.02,5.02,250,0
QUB,5,20210217,113000,5.08,5.08,5.08,5.08,540,0
QUB,5,20210217,113500,5.08,5.08,5.08,5.08,460,0
QUB,5,20210217,121000,5.08,5.1,5.08,5.1,500,0
QUB,5,20210217,133500,5.02,5.02,5.02,5.02,179,0
QUB,5,20210217,140000,5.02,5.02,5.02,5.02,300,0
QUB,5,20210217,140500,5.08,5.08,5.08,5.08,2,0
QUB,5,20210217,143500,5.02,5.02,5.02,5.02,50,0
QUB,5,20210217,151500,5.08,5.08,5.08,5.08,2,0
QUB,5,20210217,162000,5.02,5.02,5.02,5.02,300,0
QUB,5,20210217,163500,5.02,5.02,5.02,5.02,200,0
QUB,5,20210217,164000,5.02,5.02,5.02,5.02,200,0
QUB,5,20210217,164500,5.08,5.08,5.08,5.08,2,0
QUB,5,20210218,090000,5.04,5.04,5,5,1620,0
QUB,5,20210218,090500,5.1,5.1,5.1,5.1,856,0
QUB,5,20210218,091000,5.1,5.1,5.1,5.1,144,0
QUB,5,20210218,092000,5,5,5,5,1,0
QUB,5,20210218,093500,5,5,5,5,1500,0
QUB,5,20210218,095000,5.08,5.1,5.08,5.1,250,0
QUB,5,20210218,095500,5.04,5.04,5.02,5.02,2000,0
QUB,5,20210218,101000,5.02,5.02,5.02,5.02,501,0
QUB,5,20210218,102000,5.02,5.02,5,5,200,0
QUB,5,20210218,102500,5.08,5.08,5.08,5.08,2,0
QUB,5,20210218,114500,5.02,5.1,5.02,5.1,759,0
QUB,5,20210218,125000,5.04,5.04,5.04,5.04,100,0
QUB,5,20210218,125500,5.04,5.1,5.02,5.1,1702,0
QUB,5,20210218,130000,5.02,5.02,5,5,1070,0
QUB,5,20210218,135000,5.02,5.02,5.02,5.02,250,0
QUB,5,20210218,142500,5.08,5.08,5.08,5.08,155,0
QUB,5,20210218,154500,5.04,5.04,5.02,5.02,501,0
QUB,5,20210218,155500,5.02,5.02,5,5,1000,0
QUB,5,20210218,163500,5,5,5,5,900,0
QUB,5,20210218,164000,5,5,5,5,1000,0
QUB,5,20210218,164500,5.06,5.06,5.06,5.06,11,0
QUB,5,20210219,092500,5.02,5.06,5.02,5.06,2209,0
QUB,5,20210219,093000,5.06,5.06,5.06,5.06,267,0
QUB,5,20210219,093500,5.08,5.08,5.08,5.08,268,0
QUB,5,20210219,094000,5.08,5.08,5.08,5.08,200,0
QUB,5,20210219,094500,5.04,5.04,4.98,4.98,5000,0
QUB,5,20210219,100000,5.08,5.08,5.08,5.08,50,0
QUB,5,20210219,111500,5,5.08,5,5.08,1216,0
QUB,5,20210219,114000,5.08,5.08,5.08,5.08,83,0
QUB,5,20210219,115500,5.08,5.08,5.08,5.08,100,0
QUB,5,20210219,120000,5.1,5.1,5.1,5.1,20,0
QUB,5,20210219,133000,5.02,5.02,5.02,5.02,200,0
QUB,5,20210219,135000,5.02,5.02,5.02,5.02,200,0
QUB,5,20210219,140500,5.02,5.02,5,5,1070,0
QUB,5,20210219,141000,4.98,4.98,4.93,4.93,2730,0
QUB,5,20210219,142500,5,5,5,5,190,0
QUB,5,20210219,143500,4.95,4.95,4.95,4.95,200,0
QUB,5,20210219,145000,5.04,5.06,5.04,5.06,468,0
QUB,5,20210219,152000,5,5,5,5,200,0
QUB,5,20210219,152500,5,5,5,5,190,0
QUB,5,20210219,153000,5,5.06,5,5.06,480,0
QUB,5,20210219,155000,5,5,5,5,90,0
QUB,5,20210219,155500,5,5,4.92,4.92,2790,0
QUB,5,20210219,160000,5.04,5.04,5.04,5.04,214,0
QUB,5,20210219,164500,4.93,4.93,4.93,4.93,797,0
QUB,5,20210222,090000,4.93,4.93,4.89,4.89,2322,0
QUB,5,20210222,091000,5,5,4.86,4.86,250,0
QUB,5,20210222,092000,4.93,4.93,4.93,4.93,56,0
QUB,5,20210222,092500,4.93,4.93,4.93,4.93,144,0
QUB,5,20210222,093000,4.99,4.99,4.99,4.99,30,0
QUB,5,20210222,095000,4.93,4.93,4.93,4.93,106,0
QUB,5,20210222,101000,4.9,4.9,4.9,4.9,98,0
QUB,5,20210222,101500,4.93,4.99,4.93,4.93,109,0
QUB,5,20210222,102500,4.99,4.99,4.99,4.99,370,0
QUB,5,20210222,142500,4.92,4.92,4.92,4.92,100,0
QUB,5,20210222,144000,4.92,4.92,4.9,4.9,899,0
QUB,5,20210222,152500,4.95,4.95,4.95,4.95,300,0
QUB,5,20210222,154000,4.95,4.95,4.95,4.95,235,0
QUB,5,20210222,161500,4.9,4.9,4.9,4.9,200,0
QUB,5,20210222,164500,4.95,4.95,4.95,4.95,2,0
QUB,5,20210223,090500,4.86,4.86,4.86,4.86,499,0
