<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FOR,5,20210204,090000,8.5,8.5,8.44,8.44,1274,0
FOR,5,20210204,090500,8.44,8.44,8.3,8.3,1000,0
FOR,5,20210204,091000,8.46,8.46,8.46,8.46,150,0
FOR,5,20210204,091500,8.4,8.4,8.4,8.4,10,0
FOR,5,20210204,092500,8.4,8.4,8.4,8.4,237,0
FOR,5,20210204,093000,8.34,8.34,8.32,8.32,502,0
FOR,5,20210204,094000,8.33,8.33,8.33,8.33,249,0
FOR,5,20210204,094500,8.34,8.34,8.34,8.34,204,0
FOR,5,20210204,095000,8.35,8.38,8.35,8.38,259,0
FOR,5,20210204,095500,8.39,8.39,8.35,8.35,291,0
FOR,5,20210204,100500,8.35,8.39,8.35,8.39,1000,0
FOR,5,20210204,102000,8.39,8.39,8.39,8.39,113,0
FOR,5,20210204,104000,8.35,8.35,8.35,8.35,1000,0
FOR,5,20210204,105500,8.37,8.38,8.37,8.38,480,0
FOR,5,20210204,112000,8.38,8.38,8.38,8.38,831,0
FOR,5,20210204,112500,8.38,8.38,8.35,8.35,2847,0
FOR,5,20210204,114000,8.36,8.36,8.36,8.36,596,0
FOR,5,20210204,114500,8.36,8.36,8.36,8.36,841,0
FOR,5,20210204,120000,8.4,8.4,8.35,8.35,610,0
FOR,5,20210204,122000,8.35,8.35,8.33,8.33,400,0
FOR,5,20210204,123000,8.33,8.33,8.3,8.3,3000,0
FOR,5,20210204,123500,8.38,8.38,8.23,8.33,360,0
FOR,5,20210204,124500,8.33,8.33,8.33,8.33,76,0
FOR,5,20210204,125000,8.25,8.25,8.24,8.24,160,0
FOR,5,20210204,130000,8.3,8.3,8.3,8.3,200,0
FOR,5,20210204,130500,8.35,8.35,8.35,8.35,87,0
FOR,5,20210204,132500,8.35,8.35,8.35,8.35,597,0
FOR,5,20210204,133000,8.35,8.35,8.35,8.35,364,0
FOR,5,20210204,134500,8.27,8.27,8.27,8.27,500,0
FOR,5,20210204,135500,8.35,8.35,8.35,8.35,100,0
FOR,5,20210204,140000,8.35,8.35,8.35,8.35,300,0
FOR,5,20210204,151500,8.35,8.35,8.35,8.35,10,0
FOR,5,20210204,153000,8.35,8.35,8.35,8.35,300,0
FOR,5,20210204,153500,8.35,8.35,8.35,8.35,100,0
FOR,5,20210204,155000,8.35,8.35,8.35,8.35,696,0
FOR,5,20210204,161000,8.33,8.33,8.33,8.33,90,0
FOR,5,20210204,161500,8.31,8.31,8.3,8.3,458,0
FOR,5,20210204,162000,8.27,8.27,8.27,8.27,200,0
FOR,5,20210204,162500,8.27,8.3,8.27,8.3,53,0
FOR,5,20210204,163000,8.3,8.3,8.3,8.3,240,0
FOR,5,20210204,163500,8.3,8.3,8.3,8.3,150,0
FOR,5,20210204,164000,8.3,8.3,8.3,8.3,630,0
FOR,5,20210204,164500,8.3,8.35,8.3,8.35,385,0
FOR,5,20210205,090000,8.21,8.21,8.21,8.21,2070,0
FOR,5,20210205,090500,8.26,8.26,8.26,8.26,160,0
FOR,5,20210205,091000,8.26,8.26,8.26,8.26,1000,0
FOR,5,20210205,091500,8.33,8.33,8.32,8.33,376,0
FOR,5,20210205,092000,8.33,8.33,8.3,8.3,150,0
FOR,5,20210205,092500,8.26,8.3,8.22,8.22,1000,0
FOR,5,20210205,093000,8.22,8.22,8.21,8.21,200,0
FOR,5,20210205,100500,8.25,8.25,8.25,8.25,90,0
FOR,5,20210205,101000,8.25,8.25,8.25,8.25,310,0
FOR,5,20210205,102000,8.3,8.3,8.3,8.3,100,0
FOR,5,20210205,104000,8.3,8.32,8.3,8.32,171,0
FOR,5,20210205,105500,8.29,8.29,8.29,8.29,200,0
FOR,5,20210205,110000,8.29,8.29,8.29,8.29,29,0
FOR,5,20210205,110500,8.3,8.3,8.3,8.3,482,0
FOR,5,20210205,111000,8.3,8.3,8.3,8.3,160,0
FOR,5,20210205,112500,8.26,8.3,8.26,8.3,1010,0
FOR,5,20210205,113000,8.3,8.36,8.3,8.36,1032,0
FOR,5,20210205,114000,8.37,8.37,8.37,8.37,4,0
FOR,5,20210205,114500,8.37,8.39,8.37,8.39,405,0
FOR,5,20210205,115000,8.39,8.4,8.39,8.4,230,0
FOR,5,20210205,115500,8.32,8.32,8.32,8.32,400,0
FOR,5,20210205,121000,8.4,8.4,8.35,8.35,160,0
FOR,5,20210205,125500,8.35,8.35,8.35,8.35,611,0
FOR,5,20210205,133000,8.39,8.4,8.39,8.4,118,0
FOR,5,20210205,134500,8.4,8.44,8.4,8.44,403,0
FOR,5,20210205,135000,8.44,8.47,8.44,8.47,1000,0
FOR,5,20210205,140000,8.47,8.48,8.47,8.48,128,0
FOR,5,20210205,141000,8.48,8.5,8.48,8.5,962,0
FOR,5,20210205,141500,8.54,8.55,8.54,8.55,60,0
FOR,5,20210205,142500,8.54,8.55,8.54,8.55,329,0
FOR,5,20210205,143000,8.55,8.55,8.55,8.55,60,0
FOR,5,20210205,145000,8.5,8.5,8.5,8.5,318,0
FOR,5,20210205,145500,8.54,8.55,8.54,8.55,290,0
FOR,5,20210205,150000,8.58,8.64,8.58,8.64,500,0
FOR,5,20210205,151000,8.64,8.64,8.64,8.64,197,0
FOR,5,20210205,151500,8.6,8.65,8.6,8.65,175,0
FOR,5,20210205,152000,8.65,8.68,8.65,8.67,989,0
FOR,5,20210205,152500,8.67,8.68,8.67,8.68,1700,0
FOR,5,20210205,153000,8.67,8.67,8.67,8.67,200,0
FOR,5,20210205,154500,8.67,8.67,8.67,8.67,600,0
FOR,5,20210205,155500,8.67,8.67,8.67,8.67,100,0
FOR,5,20210205,160000,8.56,8.56,8.56,8.56,130,0
FOR,5,20210205,160500,8.66,8.66,8.66,8.66,3,0
FOR,5,20210205,164500,8.56,8.66,8.56,8.66,1300,0
FOR,5,20210208,090000,8.85,8.85,8.66,8.7,4578,0
FOR,5,20210208,090500,8.83,8.83,8.66,8.82,1855,0
FOR,5,20210208,091000,8.8,8.82,8.8,8.8,460,0
FOR,5,20210208,093000,8.7,8.7,8.61,8.61,542,0
FOR,5,20210208,094000,8.6,8.6,8.6,8.6,420,0
FOR,5,20210208,095000,8.76,8.76,8.76,8.76,10,0
FOR,5,20210208,095500,8.76,8.8,8.76,8.8,777,0
FOR,5,20210208,100000,8.66,8.66,8.62,8.62,241,0
FOR,5,20210208,101500,8.63,8.63,8.63,8.63,300,0
FOR,5,20210208,103000,8.63,8.63,8.6,8.6,1156,0
FOR,5,20210208,110000,8.6,8.6,8.55,8.55,742,0
FOR,5,20210208,113500,8.55,8.55,8.55,8.55,250,0
FOR,5,20210208,120500,8.56,8.56,8.56,8.56,1300,0
FOR,5,20210208,121000,8.6,8.6,8.55,8.55,250,0
FOR,5,20210208,121500,8.55,8.55,8.54,8.54,158,0
FOR,5,20210208,122500,8.54,8.54,8.54,8.54,60,0
FOR,5,20210208,125000,8.56,8.56,8.56,8.56,150,0
FOR,5,20210208,125500,8.6,8.6,8.6,8.6,120,0
FOR,5,20210208,131500,8.6,8.6,8.6,8.6,65,0
FOR,5,20210208,132000,8.55,8.6,8.52,8.6,1535,0
FOR,5,20210208,134500,8.6,8.6,8.6,8.6,160,0
FOR,5,20210208,140500,8.6,8.6,8.6,8.6,22,0
FOR,5,20210208,142000,8.6,8.6,8.6,8.6,118,0
FOR,5,20210208,143500,8.61,8.61,8.61,8.61,82,0
FOR,5,20210208,150500,8.55,8.55,8.54,8.54,1050,0
FOR,5,20210208,151500,8.52,8.52,8.52,8.52,926,0
FOR,5,20210208,152500,8.54,8.54,8.54,8.54,623,0
FOR,5,20210208,153000,8.54,8.54,8.54,8.54,300,0
FOR,5,20210208,153500,8.46,8.46,8.4,8.4,8901,0
FOR,5,20210208,160500,8.49,8.49,8.49,8.49,50,0
FOR,5,20210208,161000,8.5,8.5,8.5,8.5,750,0
FOR,5,20210208,162500,8.54,8.54,8.54,8.54,180,0
FOR,5,20210208,163000,8.5,8.5,8.46,8.46,438,0
FOR,5,20210208,163500,8.46,8.46,8.46,8.46,195,0
FOR,5,20210208,164500,8.42,8.42,8.4,8.4,853,0
FOR,5,20210209,090000,8.4,8.4,8.4,8.4,776,0
FOR,5,20210209,090500,8.4,8.56,8.4,8.56,1420,0
FOR,5,20210209,092000,8.56,8.56,8.56,8.56,100,0
FOR,5,20210209,092500,8.42,8.42,8.42,8.42,400,0
FOR,5,20210209,093000,8.52,8.52,8.52,8.52,120,0
FOR,5,20210209,095000,8.49,8.49,8.49,8.49,24,0
FOR,5,20210209,100000,8.43,8.43,8.42,8.42,120,0
FOR,5,20210209,100500,8.46,8.46,8.4,8.4,17374,0
FOR,5,20210209,102500,8.4,8.4,8.4,8.4,82,0
FOR,5,20210209,104000,8.44,8.45,8.44,8.45,700,0
FOR,5,20210209,104500,8.4,8.4,8.38,8.38,2492,0
FOR,5,20210209,105000,8.38,8.38,8.38,8.38,1000,0
FOR,5,20210209,105500,8.4,8.46,8.4,8.46,278,0
FOR,5,20210209,111000,8.4,8.4,8.35,8.35,623,0
FOR,5,20210209,113500,8.36,8.43,8.36,8.43,131,0
FOR,5,20210209,114500,8.43,8.43,8.43,8.43,623,0
FOR,5,20210209,120000,8.35,8.35,8.35,8.35,2505,0
FOR,5,20210209,120500,8.35,8.35,8.35,8.35,200,0
FOR,5,20210209,121500,8.36,8.36,8.35,8.35,1006,0
FOR,5,20210209,122000,8.32,8.39,8.3,8.39,1236,0
FOR,5,20210209,123000,8.35,8.35,8.25,8.25,1840,0
FOR,5,20210209,123500,8.3,8.3,8.3,8.3,16,0
FOR,5,20210209,125500,8.3,8.3,8.3,8.3,75,0
FOR,5,20210209,130000,8.34,8.35,8.34,8.35,1529,0
FOR,5,20210209,130500,8.35,8.35,8.35,8.35,100,0
FOR,5,20210209,131000,8.3,8.3,8.3,8.3,100,0
FOR,5,20210209,132000,8.3,8.3,8.3,8.3,152,0
FOR,5,20210209,133000,8.28,8.28,8.28,8.28,424,0
FOR,5,20210209,134000,8.3,8.3,8.3,8.3,25,0
FOR,5,20210209,134500,8.3,8.3,8.3,8.3,220,0
FOR,5,20210209,135000,8.28,8.28,8.26,8.26,368,0
FOR,5,20210209,135500,8.26,8.26,8.26,8.26,1060,0
FOR,5,20210209,140000,8.29,8.29,8.29,8.29,150,0
FOR,5,20210209,140500,8.29,8.29,8.29,8.29,450,0
FOR,5,20210209,141000,8.3,8.3,8.3,8.3,200,0
FOR,5,20210209,142000,8.28,8.28,8.28,8.28,250,0
FOR,5,20210209,144000,8.29,8.29,8.29,8.29,120,0
FOR,5,20210209,144500,8.26,8.26,8.26,8.26,705,0
FOR,5,20210209,145500,8.26,8.29,8.26,8.29,1400,0
FOR,5,20210209,150000,8.29,8.29,8.26,8.26,488,0
FOR,5,20210209,154500,8.28,8.3,8.28,8.3,518,0
FOR,5,20210209,155000,8.3,8.3,8.3,8.3,1000,0
FOR,5,20210209,155500,8.3,8.3,8.3,8.3,520,0
FOR,5,20210209,160500,8.28,8.28,8.28,8.28,101,0
FOR,5,20210209,161000,8.3,8.3,8.3,8.3,417,0
FOR,5,20210209,161500,8.3,8.3,8.28,8.3,534,0
FOR,5,20210209,162000,8.28,8.3,8.05,8.05,11863,0
FOR,5,20210209,162500,8.15,8.19,8.15,8.19,1421,0
FOR,5,20210209,163000,8.18,8.18,8.11,8.11,915,0
FOR,5,20210209,163500,8.12,8.27,8.08,8.1,3400,0
FOR,5,20210209,164000,8.06,8.06,8.06,8.06,16,0
FOR,5,20210209,164500,8.22,8.24,8.07,8.07,4874,0
FOR,5,20210210,090000,8.11,8.11,8.11,8.11,50,0
FOR,5,20210210,090500,8.12,8.15,8.12,8.15,203,0
FOR,5,20210210,091500,8.23,8.24,8.15,8.15,499,0
FOR,5,20210210,092000,8.15,8.15,8.12,8.12,100,0
FOR,5,20210210,092500,8.13,8.13,8.12,8.12,300,0
FOR,5,20210210,100500,8.24,8.25,8.24,8.25,680,0
FOR,5,20210210,101000,8.25,8.25,8.17,8.17,3208,0
FOR,5,20210210,101500,8.17,8.17,8.11,8.11,2000,0
FOR,5,20210210,103500,8.12,8.12,8.11,8.11,550,0
FOR,5,20210210,111000,8.17,8.17,8.17,8.17,170,0
FOR,5,20210210,111500,8.15,8.17,8.15,8.17,4485,0
FOR,5,20210210,112000,8.17,8.17,8.17,8.17,220,0
FOR,5,20210210,112500,8.15,8.19,8.15,8.19,1130,0
FOR,5,20210210,113500,8.19,8.19,8.12,8.19,300,0
FOR,5,20210210,114500,8.19,8.19,8.19,8.19,126,0
FOR,5,20210210,115000,8.18,8.18,8.1,8.1,4185,0
FOR,5,20210210,115500,8.08,8.08,8.07,8.07,3382,0
FOR,5,20210210,122500,8.17,8.17,8.17,8.17,100,0
FOR,5,20210210,130000,8.12,8.12,8.07,8.07,2968,0
FOR,5,20210210,131000,8.08,8.08,8.08,8.08,64,0
FOR,5,20210210,133000,8.1,8.1,8.07,8.07,1139,0
FOR,5,20210210,134000,8.07,8.07,8.07,8.07,1000,0
FOR,5,20210210,135000,8.14,8.14,8.14,8.14,250,0
FOR,5,20210210,135500,8.14,8.14,8.14,8.14,250,0
FOR,5,20210210,140000,8.08,8.08,8.05,8.05,2500,0
FOR,5,20210210,140500,8.14,8.14,8.14,8.14,420,0
FOR,5,20210210,141000,8.13,8.13,8.05,8.05,6830,0
FOR,5,20210210,141500,8.04,8.04,8.01,8.01,3100,0
FOR,5,20210210,143000,8.05,8.12,7.99,8.12,9406,0
FOR,5,20210210,144000,8,8,8,8,300,0
FOR,5,20210210,144500,8.11,8.11,8.11,8.11,500,0
FOR,5,20210210,145000,8.1,8.1,8.1,8.1,300,0
FOR,5,20210210,145500,8.02,8.13,7.98,7.98,5355,0
FOR,5,20210210,151500,8.02,8.02,8,8,912,0
FOR,5,20210210,152000,8.02,8.02,8.02,8.02,100,0
FOR,5,20210210,152500,8.02,8.02,8.02,8.02,41,0
FOR,5,20210210,153500,8.11,8.11,8.11,8.11,3350,0
FOR,5,20210210,154000,8.04,8.04,8,8,762,0
FOR,5,20210210,154500,8.11,8.11,8,8,919,0
FOR,5,20210210,161000,8.11,8.12,8.11,8.12,680,0
FOR,5,20210210,162000,8.1,8.12,8.1,8.12,350,0
FOR,5,20210210,163000,8,8,7.98,7.98,2000,0
FOR,5,20210210,163500,8.09,8.09,8.09,8.09,500,0
FOR,5,20210211,090000,8.09,8.16,8.09,8.15,1425,0
FOR,5,20210211,092000,8.03,8.03,7.98,7.98,2849,0
FOR,5,20210211,092500,7.98,7.98,7.96,7.96,600,0
FOR,5,20210211,093000,8.03,8.03,8.03,8.03,99,0
FOR,5,20210211,094000,8.04,8.04,8.04,8.04,70,0
FOR,5,20210211,095500,8.04,8.04,8.03,8.03,310,0
FOR,5,20210211,100500,8.02,8.02,7.96,7.96,540,0
FOR,5,20210211,101000,8,8.03,8,8.03,320,0
FOR,5,20210211,101500,8.03,8.04,8.03,8.04,618,0
FOR,5,20210211,102500,8.04,8.08,8.04,8.08,738,0
FOR,5,20210211,103000,8.05,8.05,8.04,8.04,150,0
FOR,5,20210211,103500,8.04,8.04,8.04,8.04,1525,0
FOR,5,20210211,104000,8.09,8.09,8.09,8.09,1840,0
FOR,5,20210211,105000,8.02,8.08,8,8.08,2206,0
FOR,5,20210211,105500,8.08,8.08,8.07,8.07,674,0
FOR,5,20210211,112000,8,8,7.97,7.97,1380,0
FOR,5,20210211,115000,8,8,8,8,222,0
FOR,5,20210211,115500,8,8,8,8,278,0
FOR,5,20210211,121000,8.01,8.01,8,8,552,0
FOR,5,20210211,121500,8.06,8.06,8.05,8.05,900,0
FOR,5,20210211,122000,8,8,8,8,130,0
FOR,5,20210211,124500,8.06,8.06,7.99,7.99,1500,0
FOR,5,20210211,125500,8.06,8.06,8.06,8.06,300,0
FOR,5,20210211,130000,8.06,8.06,8.06,8.06,365,0
FOR,5,20210211,130500,8.06,8.06,8.06,8.06,100,0
FOR,5,20210211,131500,8.01,8.01,8.01,8.01,1250,0
FOR,5,20210211,132000,8.01,8.05,8.01,8.05,1000,0
FOR,5,20210211,133500,8.05,8.05,8.05,8.05,7,0
FOR,5,20210211,134000,8.05,8.05,8.05,8.05,250,0
FOR,5,20210211,134500,8.05,8.05,8.05,8.05,100,0
FOR,5,20210211,135000,8.05,8.06,8.05,8.06,370,0
FOR,5,20210211,135500,8.06,8.06,8.06,8.06,508,0
FOR,5,20210211,140500,8.06,8.06,8.06,8.06,606,0
FOR,5,20210211,141000,8.06,8.06,8.06,8.06,1101,0
FOR,5,20210211,141500,8.04,8.06,8.04,8.06,600,0
FOR,5,20210211,143000,8.04,8.04,8,8,4468,0
FOR,5,20210211,144500,8,8.07,8,8.07,2709,0
FOR,5,20210211,145500,8.07,8.07,8.07,8.07,100,0
FOR,5,20210211,150000,8.07,8.07,8.07,8.07,63,0
FOR,5,20210211,150500,8,8,8,8,900,0
FOR,5,20210211,151500,8.16,8.16,8.16,8.16,1,0
FOR,5,20210211,152000,8.01,8.01,8,8,1479,0
FOR,5,20210211,154000,8.11,8.12,8.11,8.12,348,0
FOR,5,20210211,154500,8.12,8.12,8.1,8.1,2073,0
FOR,5,20210211,155500,8.1,8.1,8,8,5687,0
FOR,5,20210211,161000,8.01,8.01,8,8,1063,0
FOR,5,20210211,162000,8.02,8.09,8.01,8.09,3186,0
FOR,5,20210211,162500,8.02,8.02,7.99,7.99,3345,0
FOR,5,20210211,163500,8.02,8.02,7.97,7.97,3000,0
